               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.035494,           0.0084858,           0.0019969,             0.97601,             0.71253,             0.83095,             0.48302,            0.038599,            0.014277,           0.0061321,            0.007624,            0.007624,            0.007624
                  74,            0.035583,           0.0084446,           0.0021052,             0.95293,             0.72058,             0.81659,             0.49127,            0.037873,             0.01498,           0.0062882,            0.007591,            0.007591,            0.007591
                  75,            0.034793,            0.009198,            0.001982,             0.96999,             0.72616,             0.82244,             0.51185,            0.039359,             0.01397,           0.0061047,            0.007558,            0.007558,            0.007558
                  76,            0.033796,           0.0075793,           0.0017819,             0.97187,             0.73256,             0.80848,             0.51108,            0.038772,            0.013488,           0.0062105,            0.007525,            0.007525,            0.007525
                  77,            0.033918,            0.008959,           0.0017554,             0.93895,             0.73223,             0.80027,             0.48117,            0.040205,            0.013719,           0.0078126,            0.007492,            0.007492,            0.007492
                  78,            0.034921,           0.0095445,           0.0016142,              0.9537,             0.74859,             0.80918,             0.52512,            0.038446,            0.013511,           0.0069019,            0.007459,            0.007459,            0.007459
                  79,            0.033041,           0.0084468,           0.0018022,               0.906,             0.74586,             0.81095,             0.46218,            0.039321,            0.013668,           0.0068952,            0.007426,            0.007426,            0.007426
                  80,            0.033822,           0.0084263,           0.0017077,              0.9199,             0.74168,             0.81688,              0.4609,            0.039469,            0.014034,           0.0064589,            0.007393,            0.007393,            0.007393
                  81,             0.03391,           0.0084328,           0.0018842,             0.95826,             0.73322,             0.81015,             0.49152,            0.039584,            0.014331,           0.0061697,             0.00736,             0.00736,             0.00736
                  82,            0.030788,           0.0079841,           0.0018915,             0.94663,             0.72456,             0.83045,             0.51055,            0.038476,             0.01419,           0.0051677,            0.007327,            0.007327,            0.007327
                  83,            0.031811,           0.0083775,           0.0016321,             0.94623,             0.72717,             0.86568,             0.53241,            0.037468,            0.013422,            0.005773,            0.007294,            0.007294,            0.007294
                  84,            0.033294,           0.0078575,           0.0015633,             0.94307,             0.72789,             0.86862,             0.50296,            0.038583,            0.013667,           0.0058072,            0.007261,            0.007261,            0.007261
                  85,            0.032721,           0.0074581,           0.0014875,             0.91189,             0.70442,             0.85472,             0.52732,             0.03837,            0.013906,           0.0058696,            0.007228,            0.007228,            0.007228
                  86,            0.030991,           0.0076534,           0.0014267,             0.92301,             0.71857,             0.83998,             0.45957,            0.042588,            0.013575,           0.0058873,            0.007195,            0.007195,            0.007195
                  87,            0.033594,           0.0080055,           0.0015241,             0.90865,             0.70453,               0.833,             0.45629,            0.040824,            0.014196,           0.0059628,            0.007162,            0.007162,            0.007162
                  88,            0.032112,           0.0077856,           0.0016322,             0.93264,              0.7055,             0.81317,             0.50501,            0.040884,            0.014254,           0.0059584,            0.007129,            0.007129,            0.007129
